dataset,model,accuracy,macro_f1,loss,total_params,trainable_params,active_params_estimated,active_param_ratio,dense_equivalent_flops,effective_flops,cpu_latency_p50_ms,cpu_latency_p90_ms,cpu_latency_p95_ms,cpu_latency_p99_ms,cpu_latency_mean_ms,cpu_throughput_samples_per_s,preprocess_policy,flow_leakage_count
cstnet_tls_1.3,DF,0.344913,0.255453,2.304203,3679386,3679386,3679386,1.0,459405850,459405850,5.2546,5.82112,6.05366,6.52122,5.342723,295.701695,DF DIR features only; ETH/IP/port/protocol/SNI excluded from model inputs; hashed bidirectional five-tuple used only for split auditing.,0
cstnet_tls_1.3,AWF,0.265509,0.190777,2.779302,47866,47866,47866,1.0,10526106,10526106,0.5883,0.6669,0.727805,0.81665,0.588516,3462.191484,DF DIR features only; ETH/IP/port/protocol/SNI excluded from model inputs; hashed bidirectional five-tuple used only for split auditing.,0
cstnet_tls_1.3,TikTok,0.223325,0.137812,2.572393,3679386,3679386,3679386,1.0,459405850,459405850,5.1978,5.77903,6.061105,6.601946,5.303952,306.479714,DF DIR features only; ETH/IP/port/protocol/SNI excluded from model inputs; hashed bidirectional five-tuple used only for split auditing.,0
cstnet_tls_1.3,VarCNN,0.496278,0.492454,1.905521,8766234,8766234,8766234,1.0,3416723994,3416723994,23.8854,25.14233,25.5973,26.309774,23.83377,66.977063,DF DIR features only; ETH/IP/port/protocol/SNI excluded from model inputs; hashed bidirectional five-tuple used only for split auditing.,0
cstnet_tls_1.3,BAPM,0.406948,0.350532,2.144242,237786,237786,237786,1.0,37438106,37438106,1.482,1.63275,1.701535,1.852495,1.490564,1021.707817,DF DIR features only; ETH/IP/port/protocol/SNI excluded from model inputs; hashed bidirectional five-tuple used only for split auditing.,0
cstnet_tls_1.3,TMWF,0.295285,0.202615,2.288985,4834138,4834138,4834138,1.0,3065265210,3065265210,28.6233,29.86836,30.17412,30.960758,28.553783,45.339427,DF DIR features only; ETH/IP/port/protocol/SNI excluded from model inputs; hashed bidirectional five-tuple used only for split auditing.,0
cstnet_tls_1.3,RF,0.364764,0.299554,2.603673,923598,923598,923598,1.0,644651738,644651738,4.7281,5.31488,5.460695,5.840376,4.706852,402.383899,DF DIR features only; ETH/IP/port/protocol/SNI excluded from model inputs; hashed bidirectional five-tuple used only for split auditing.,0
CipherSpectrum,DF,0.594949,0.591258,1.289961,3687081,3687081,3687081,1.0,459421225,459421225,5.2002,5.66725,5.82584,6.143235,5.231563,310.940198,DF DIR features only; ETH/IP/port/protocol/SNI excluded from model inputs; hashed bidirectional five-tuple used only for split auditing.,0
CipherSpectrum,AWF,0.364012,0.338864,2.128418,69481,69481,69481,1.0,10569321,10569321,0.5944,0.67773,0.7029,0.788632,0.59964,3480.565912,DF DIR features only; ETH/IP/port/protocol/SNI excluded from model inputs; hashed bidirectional five-tuple used only for split auditing.,0
CipherSpectrum,TikTok,0.717581,0.713508,0.849268,3687081,3687081,3687081,1.0,459421225,459421225,5.25225,5.82162,5.99942,6.446675,5.334344,303.984677,DF DIR features only; ETH/IP/port/protocol/SNI excluded from model inputs; hashed bidirectional five-tuple used only for split auditing.,0
CipherSpectrum,VarCNN,0.245508,0.207158,2.543474,8781609,8781609,8781609,1.0,3416754729,3416754729,23.269,24.38597,24.676385,25.313707,23.227336,64.825863,DF DIR features only; ETH/IP/port/protocol/SNI excluded from model inputs; hashed bidirectional five-tuple used only for split auditing.,0
CipherSpectrum,BAPM,0.509713,0.50282,1.568601,268521,268521,268521,1.0,37499561,37499561,1.49,1.69491,1.827285,2.010299,1.497668,1035.081607,DF DIR features only; ETH/IP/port/protocol/SNI excluded from model inputs; hashed bidirectional five-tuple used only for split auditing.,0
CipherSpectrum,TMWF,0.528898,0.517478,1.518357,4837993,4837993,4837993,1.0,3065272905,3065272905,28.24275,29.25416,29.614335,30.678026,28.217631,43.593023,DF DIR features only; ETH/IP/port/protocol/SNI excluded from model inputs; hashed bidirectional five-tuple used only for split auditing.,0
CipherSpectrum,RF,0.625061,0.631767,1.361387,946683,946683,946683,1.0,647647913,647647913,4.4114,4.9401,5.11997,5.339678,4.389159,398.440837,DF DIR features only; ETH/IP/port/protocol/SNI excluded from model inputs; hashed bidirectional five-tuple used only for split auditing.,0
