true_label,adblockplus.org,arin.net,cloudfront.net,coinbase.com,cookielaw.org,ctfassets.net,doubleclick.net,flipboard.com,garmin.com,getpocket.com,gmx.net,google-analytics.com,google.com,googleapis.com,googletagmanager.com,gstatic.com,hotjar.com,hs-scripts.com,hsadspixel.net,hubspot.com,joinhoney.com,like-video.com,logitech.com,mozilla.net,naver.com,onetrust.com,qualified.com,robinhood.com,segment.com,sharethis.com,steamstatic.com,trustarc.com,twitter.com,typekit.net,ubuntu.com,waze.com,web.de,wistia.com,xnxx-cdn.com,yahoo.co.jp,yimg.jp
adblockplus.org,70,2,6,0,0,1,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,3,2,2,3,0,0,0,0,1,0,0,3,1
arin.net,8,33,3,0,5,1,0,0,1,2,10,0,1,0,4,3,0,0,0,4,0,3,0,1,1,0,4,0,0,0,0,0,5,1,0,0,6,1,0,0,0
cloudfront.net,23,2,24,1,1,1,0,1,1,10,0,0,0,0,3,1,0,0,0,0,0,0,3,0,2,0,0,0,2,8,3,4,0,0,0,1,3,0,0,3,3
coinbase.com,1,0,1,62,0,3,0,0,4,2,1,0,0,0,1,0,0,0,0,0,2,10,0,2,0,0,0,3,0,1,2,0,0,0,0,1,6,0,0,2,0
cookielaw.org,11,9,0,0,69,0,0,0,2,5,0,6,2,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0
ctfassets.net,0,3,1,7,0,26,0,1,0,2,0,1,0,0,2,0,3,0,1,0,0,2,1,0,0,0,0,0,1,20,0,0,0,0,6,7,0,0,0,6,3
doubleclick.net,0,0,0,2,0,0,67,2,0,0,0,12,0,17,0,0,6,0,0,1,0,0,0,0,0,1,0,2,2,1,0,1,0,0,0,0,1,0,0,0,0
flipboard.com,4,3,0,5,0,17,4,10,0,3,0,1,0,0,2,1,2,0,0,0,0,0,2,3,0,0,1,0,3,33,0,1,0,1,9,1,1,1,1,5,3
garmin.com,3,2,0,15,4,2,0,0,24,0,2,0,0,0,1,0,3,0,10,7,0,1,1,0,0,2,3,0,0,3,0,1,3,2,1,2,0,0,0,1,0
getpocket.com,17,0,9,0,0,0,0,0,0,42,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,13,4,4,0,1,0,0,0,2,1,0,0
gmx.net,3,0,1,2,0,0,13,1,0,1,18,0,0,1,1,0,2,2,0,2,5,13,0,0,3,0,5,2,0,1,1,0,1,1,1,1,20,0,1,1,1
google-analytics.com,1,0,0,4,1,0,7,1,0,0,0,68,0,18,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
google.com,0,1,0,0,1,2,16,0,0,0,0,2,49,17,3,1,0,0,0,0,2,9,2,0,0,0,0,0,2,1,0,3,0,0,1,0,0,0,0,2,0
googleapis.com,0,0,0,0,0,0,3,0,0,0,0,9,7,66,0,0,4,0,0,5,0,4,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,1,0
googletagmanager.com,0,3,0,1,0,1,0,0,0,0,0,7,3,0,54,11,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,2,0,1,0,1,0,0,0,0,0
gstatic.com,0,0,0,1,4,0,6,0,2,0,1,11,4,4,8,17,2,0,0,0,4,0,0,0,0,0,2,2,0,4,0,0,0,0,3,1,11,0,0,2,0
hotjar.com,0,0,0,0,2,0,1,0,2,0,0,3,0,1,0,0,52,0,5,15,0,0,0,0,0,1,0,0,7,6,0,1,5,2,0,0,0,0,0,0,0
