true_label,adblockplus.org,arin.net,cloudfront.net,coinbase.com,cookielaw.org,ctfassets.net,doubleclick.net,flipboard.com,garmin.com,getpocket.com,gmx.net,google-analytics.com,google.com,googleapis.com,googletagmanager.com,gstatic.com,hotjar.com,hs-scripts.com,hsadspixel.net,hubspot.com,joinhoney.com,like-video.com,logitech.com,mozilla.net,naver.com,onetrust.com,qualified.com,robinhood.com,segment.com,sharethis.com,steamstatic.com,trustarc.com,twitter.com,typekit.net,ubuntu.com,waze.com,web.de,wistia.com,xnxx-cdn.com,yahoo.co.jp,yimg.jp
adblockplus.org,91,1,3,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0
arin.net,3,55,2,0,7,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,3,1,7,2,0,0,0,1,5,1,0,0,0,1,0,0,0
cloudfront.net,16,1,49,0,0,1,0,6,0,11,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,6,1,1
coinbase.com,0,0,0,57,0,1,0,5,1,1,0,0,0,0,0,0,0,0,0,0,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,0,0
cookielaw.org,6,7,0,0,80,5,0,0,1,1,0,3,0,0,0,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,2,0,0,0
ctfassets.net,1,1,1,4,0,30,0,13,0,0,0,0,0,0,0,0,3,0,0,0,1,4,1,0,1,0,0,1,0,5,1,4,0,2,5,7,0,0,1,3,4
doubleclick.net,0,0,0,0,0,0,80,0,0,0,0,6,3,12,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,0,0,0,0,0
flipboard.com,1,0,0,4,0,7,6,54,1,0,1,0,0,0,2,0,1,1,0,0,0,2,2,0,1,0,1,0,4,9,1,2,1,1,5,4,0,2,1,0,3
garmin.com,0,1,0,6,2,2,0,3,32,0,1,0,0,0,0,0,1,1,10,7,7,3,1,0,0,2,4,0,0,0,0,0,2,2,0,2,3,0,1,0,0
getpocket.com,11,2,9,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
gmx.net,1,1,0,1,1,0,3,0,0,0,23,0,0,3,0,2,0,2,0,0,2,17,0,0,6,1,10,2,0,0,0,0,0,0,2,3,21,1,0,1,1
google-analytics.com,0,0,0,0,0,0,4,1,0,0,0,70,5,10,0,4,1,0,0,1,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
