true_label,adblockplus.org,arin.net,cloudfront.net,coinbase.com,cookielaw.org,ctfassets.net,doubleclick.net,flipboard.com,garmin.com,getpocket.com,gmx.net,google-analytics.com,google.com,googleapis.com,googletagmanager.com,gstatic.com,hotjar.com,hs-scripts.com,hsadspixel.net,hubspot.com,joinhoney.com,like-video.com,logitech.com,mozilla.net,naver.com,onetrust.com,qualified.com,robinhood.com,segment.com,sharethis.com,steamstatic.com,trustarc.com,twitter.com,typekit.net,ubuntu.com,waze.com,web.de,wistia.com,xnxx-cdn.com,yahoo.co.jp,yimg.jp
adblockplus.org,91,2,4,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
arin.net,0,70,2,1,3,0,0,0,2,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,8,0,0,0,3,0,0,0,0
cloudfront.net,1,0,76,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,1,0,1,0,2,0,0,4,1,0
coinbase.com,0,0,2,83,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,3,0,0,0,5,0,0,0,0,1,0,0,0,0,0
cookielaw.org,1,2,1,1,104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0
ctfassets.net,0,0,4,5,0,47,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,1,0,7,3,0,0,0,6,1,1,1,0,0,1
doubleclick.net,0,0,0,2,0,0,84,1,0,0,4,3,3,8,0,2,1,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
flipboard.com,0,0,2,7,0,20,5,43,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,3,13,1,0,0,3,5,3,0,3,3,0,0
garmin.com,0,0,1,12,0,2,0,2,39,0,0,0,0,0,0,0,0,0,10,10,0,0,1,0,0,2,4,0,0,0,5,0,1,0,0,1,2,0,1,0,0
getpocket.com,1,1,11,1,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0
gmx.net,0,0,1,2,0,2,2,1,0,0,11,0,0,0,0,0,1,1,0,0,0,9,0,0,2,1,1,3,0,0,1,0,0,1,0,5,59,0,0,1,0
google-analytics.com,0,0,0,4,1,0,6,2,0,0,0,71,4,9,2,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
google.com,0,0,0,0,0,0,3,1,0,0,1,4,73,3,3,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0
googleapis.com,0,0,0,0,0,0,6,0,0,0,0,3,5,80,0,1,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
googletagmanager.com,0,0,0,1,0,0,0,1,0,0,0,0,1,0,79,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
gstatic.com,0,0,0,2,0,0,3,0,0,0,0,3,0,2,1,57,0,1,0,0,1,3,0,0,0,0,2,3,0,1,1,0,0,0,2,2,4,0,0,1,0
hotjar.com,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,64,5,3,11,0,0,0,0,0,1,2,2,5,4,0,0,1,0,0,0,1,0,1,0,0
hs-scripts.com,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,57,4,14,0,0,1,0,1,15,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0
hsadspixel.net,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,74,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hubspot.com,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,1,0,6,77,0,0,0,0,1,3,4,7,1,0,0,0,0,0,0,0,0,1,0,0,0
joinhoney.com,0,0,0,17,0,2,0,3,1,0,0,1,1,5,0,0,0,0,0,0,37,19,1,0,0,0,4,0,0,0,11,0,0,0,0,1,0,0,0,0,0
like-video.com,0,1,1,9,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0
logitech.com,1,1,17,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71,0,3,0,0,3,1,0,2,0,0,0,0,1,1,1,0,0,0
mozilla.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naver.com,0,0,3,1,0,0,10,0,0,0,0,0,0,0,0,2,8,2,0,0,0,1,0,0,59,1,2,4,0,2,2,0,0,0,1,0,2,0,0,1,1
onetrust.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,8,35,0,0,0,0,0,35,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0
qualified.com,0,0,1,11,0,1,0,2,0,0,1,0,1,0,0,1,0,0,0,1,3,4,0,0,2,0,47,8,0,1,6,0,2,1,1,1,13,1,0,0,0
robinhood.com,0,0,1,6,2,6,4,0,0,0,0,0,0,0,0,1,0,1,1,0,3,9,1,0,0,4,0,36,0,2,1,0,0,0,1,2,0,6,1,0,0
segment.com,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,4,0,0,1,69,10,1,3,1,8,0,1,1,0,0,0,0
sharethis.com,0,0,0,1,0,12,1,9,0,0,0,0,1,0,0,0,3,0,0,1,0,3,1,0,1,0,0,1,7,46,2,2,0,1,4,2,0,1,1,3,0
