true_label,adblockplus.org,arin.net,cloudfront.net,coinbase.com,cookielaw.org,ctfassets.net,doubleclick.net,flipboard.com,garmin.com,getpocket.com,gmx.net,google-analytics.com,google.com,googleapis.com,googletagmanager.com,gstatic.com,hotjar.com,hs-scripts.com,hsadspixel.net,hubspot.com,joinhoney.com,like-video.com,logitech.com,mozilla.net,naver.com,onetrust.com,qualified.com,robinhood.com,segment.com,sharethis.com,steamstatic.com,trustarc.com,twitter.com,typekit.net,ubuntu.com,waze.com,web.de,wistia.com,xnxx-cdn.com,yahoo.co.jp,yimg.jp
adblockplus.org,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arin.net,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloudfront.net,0,1,52,0,3,4,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,12,0,15,3,1,1,0,1,0,0,0,0,1,0,0,0
coinbase.com,0,0,0,48,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,6,0,42,0,1,3,0,0,0,0,0,0,0,0,0,0
cookielaw.org,0,0,3,0,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,5,2,0,0,0,0,1,0,0,0
ctfassets.net,0,0,0,5,0,31,0,0,1,0,0,0,0,0,0,1,5,0,1,1,1,0,0,0,0,6,0,35,0,0,0,0,0,0,0,0,0,4,2,0,0
doubleclick.net,0,0,0,0,0,0,88,0,0,0,0,4,2,8,0,7,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
flipboard.com,0,0,0,5,0,13,0,17,1,0,0,0,0,0,0,2,1,0,1,4,2,0,1,0,0,3,1,48,2,3,1,0,0,0,0,2,0,10,0,0,0
garmin.com,0,0,0,6,0,1,0,1,38,2,0,0,0,0,0,0,0,1,9,2,0,0,0,0,0,10,0,17,0,0,3,1,0,1,0,0,0,1,0,0,0
getpocket.com,0,0,0,0,1,0,0,0,0,83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,1,3,0,0
gmx.net,0,0,0,5,0,4,0,0,0,1,73,0,0,0,0,0,0,0,1,1,6,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,4,1,0,0,0
google-analytics.com,0,0,0,0,0,0,8,0,0,0,0,80,5,5,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
google.com,0,0,0,0,1,0,4,0,0,0,0,0,73,21,2,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
