true_label,adblockplus.org,arin.net,cloudfront.net,coinbase.com,cookielaw.org,ctfassets.net,doubleclick.net,flipboard.com,garmin.com,getpocket.com,gmx.net,google-analytics.com,google.com,googleapis.com,googletagmanager.com,gstatic.com,hotjar.com,hs-scripts.com,hsadspixel.net,hubspot.com,joinhoney.com,like-video.com,logitech.com,mozilla.net,naver.com,onetrust.com,qualified.com,robinhood.com,segment.com,sharethis.com,steamstatic.com,trustarc.com,twitter.com,typekit.net,ubuntu.com,waze.com,web.de,wistia.com,xnxx-cdn.com,yahoo.co.jp,yimg.jp
adblockplus.org,81,0,6,0,2,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
arin.net,0,69,3,0,4,0,0,0,3,3,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,3,1,0,0,0,0,6,0,0,0,0,0,0,0,0
cloudfront.net,2,1,40,0,0,2,0,0,0,27,0,0,0,0,0,2,0,0,0,0,0,0,10,0,2,0,0,0,0,0,5,1,0,1,0,1,0,0,6,0,0
coinbase.com,0,0,0,56,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,13,4,0,0,0,0,3,0,0,0,17,0,0,0,0,3,2,1,0,0,0
cookielaw.org,1,1,0,0,95,0,0,0,1,1,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,3,0,3,0,3,0,2,0,1,0,0,0,0,0
ctfassets.net,0,0,2,2,0,37,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,17,7,1,0,2,4,8,0,1,0,2,2
doubleclick.net,0,0,0,0,0,0,74,0,0,0,0,6,1,13,0,2,1,0,0,0,5,0,0,0,2,0,2,0,1,0,0,0,0,0,3,5,0,0,0,0,0
flipboard.com,1,0,0,6,0,19,4,23,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,4,12,7,2,0,3,5,14,0,7,1,1,1
garmin.com,0,0,0,4,1,2,0,1,30,0,0,0,0,1,1,0,1,1,10,10,7,0,0,0,1,2,6,2,0,0,6,0,0,1,0,4,2,0,0,0,0
getpocket.com,7,0,7,0,1,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0
