true_label,adblockplus.org,arin.net,cloudfront.net,coinbase.com,cookielaw.org,ctfassets.net,doubleclick.net,flipboard.com,garmin.com,getpocket.com,gmx.net,google-analytics.com,google.com,googleapis.com,googletagmanager.com,gstatic.com,hotjar.com,hs-scripts.com,hsadspixel.net,hubspot.com,joinhoney.com,like-video.com,logitech.com,mozilla.net,naver.com,onetrust.com,qualified.com,robinhood.com,segment.com,sharethis.com,steamstatic.com,trustarc.com,twitter.com,typekit.net,ubuntu.com,waze.com,web.de,wistia.com,xnxx-cdn.com,yahoo.co.jp,yimg.jp
adblockplus.org,106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arin.net,1,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloudfront.net,0,0,72,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0
coinbase.com,0,0,0,84,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,3,0,0,0,0,0,1,0,5,0,2,0,0,0
cookielaw.org,0,0,1,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ctfassets.net,0,0,1,7,0,52,1,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,12,0,1,0,2,0,0,2,7,0,0,0
doubleclick.net,0,0,0,0,0,0,85,0,0,0,0,16,4,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flipboard.com,0,0,0,4,0,23,0,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,3,17,0,0,0,4,0,4,0,7,1,0,0
garmin.com,0,0,0,14,1,0,0,0,43,1,0,0,0,0,0,0,1,0,10,1,6,0,0,0,0,2,4,0,0,0,0,1,2,3,0,2,2,0,0,0,0
getpocket.com,0,0,3,0,1,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
