true_label,adblockplus.org,arin.net,cloudfront.net,coinbase.com,cookielaw.org,ctfassets.net,doubleclick.net,flipboard.com,garmin.com,getpocket.com,gmx.net,google-analytics.com,google.com,googleapis.com,googletagmanager.com,gstatic.com,hotjar.com,hs-scripts.com,hsadspixel.net,hubspot.com,joinhoney.com,like-video.com,logitech.com,mozilla.net,naver.com,onetrust.com,qualified.com,robinhood.com,segment.com,sharethis.com,steamstatic.com,trustarc.com,twitter.com,typekit.net,ubuntu.com,waze.com,web.de,wistia.com,xnxx-cdn.com,yahoo.co.jp,yimg.jp
adblockplus.org,85,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0
arin.net,0,74,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,1,0,0,0,2,1
cloudfront.net,0,1,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,7,0,22,0,0,0
coinbase.com,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,68,2,11,0,0,0
cookielaw.org,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,37,0,0,0,0,0,0,0,0,0,52,0,0,0,0,1,0,0,0
ctfassets.net,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0,58,0,0,0
doubleclick.net,0,0,0,0,0,0,28,0,0,0,0,69,1,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0
flipboard.com,0,0,0,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,18,0,81,0,0,0
garmin.com,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,3,0,7,0,0,0,0,0,0,0,0,0,12,0,0,23,0,41,0,0,0
getpocket.com,0,3,0,0,0,0,0,0,0,69,0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0
gmx.net,0,4,0,0,0,0,0,0,0,0,44,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,18,16,14,0,0,0
google-analytics.com,0,1,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0
google.com,1,1,0,0,0,0,9,0,0,0,0,30,0,0,2,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0
googleapis.com,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0
googletagmanager.com,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
gstatic.com,0,0,0,0,0,0,1,0,0,0,0,30,0,0,0,1,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,1,0,0,18,0,7,0,0,0
hotjar.com,0,1,0,0,0,0,0,0,7,0,0,1,0,0,0,0,27,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,5,0,0,2,0,54,0,0,0
