true_label,gitlab.com,goat.com,grammarly.com,gravatar.com,huanqiu.com,huawei.com,hubspot.com,huya.com,ibm.com,icloud.com,ieee.org,instagram.com,iqiyi.com,jb51.net,jd.com,kugou.com,leetcode-cn.com,media.net,mi.com,microsoft.com,mozilla.org,msn.com,notion.so,nvidia.com,onlinedown.net,oracle.com
gitlab.com,6,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
goat.com,0,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
grammarly.com,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
gravatar.com,0,1,0,0,0,0,1,1,0,0,7,1,0,0,0,5,0,0,0,0,3,0,0,3,0,0
huanqiu.com,0,0,1,0,0,0,0,1,0,0,0,0,6,0,0,7,1,0,0,2,0,0,0,0,0,2
huawei.com,0,2,0,0,0,4,0,1,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,2,1
hubspot.com,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
huya.com,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ibm.com,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0
icloud.com,6,0,0,0,0,0,0,7,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,1,2
ieee.org,0,0,0,0,0,0,1,0,0,0,17,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
instagram.com,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,1,0,0,0,0,0,0,0,0,2
iqiyi.com,0,1,0,0,0,0,0,2,0,0,1,9,7,0,0,3,0,0,0,0,0,0,0,0,0,1
jb51.net,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3
jd.com,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
kugou.com,0,1,1,0,0,1,1,3,0,0,0,2,12,0,0,5,1,2,0,0,0,0,0,0,0,0
leetcode-cn.com,2,0,1,0,0,1,0,1,0,0,0,0,2,1,0,2,6,0,0,0,0,0,0,0,0,2
media.net,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,2,0,15,0,1,2,3,0,0,0,1
mi.com,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1
microsoft.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1
mozilla.org,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1
msn.com,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1,12,0,0,0,0
notion.so,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,3,0,0,0,1,4,0,3,1,1,3
nvidia.com,1,1,2,0,0,0,0,0,0,0,3,1,0,0,0,1,1,6,0,0,1,0,0,2,0,0
onlinedown.net,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2
oracle.com,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,2,0,4
