true_label,gitlab.com,goat.com,grammarly.com,gravatar.com,huanqiu.com,huawei.com,hubspot.com,huya.com,ibm.com,icloud.com,ieee.org,instagram.com,iqiyi.com,jb51.net,jd.com,kugou.com,leetcode-cn.com,media.net,mi.com,microsoft.com,mozilla.org,msn.com,notion.so,nvidia.com,onlinedown.net,oracle.com
gitlab.com,6,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goat.com,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
grammarly.com,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
gravatar.com,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0
huanqiu.com,0,0,0,1,14,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3
huawei.com,0,0,1,1,0,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,3,3
hubspot.com,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0
huya.com,0,0,0,0,0,0,1,7,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
ibm.com,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1
icloud.com,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
ieee.org,1,1,0,0,0,0,1,0,0,0,10,0,0,0,0,1,0,2,0,0,0,1,0,1,0,2
instagram.com,0,1,0,0,0,0,0,0,0,1,0,10,0,0,1,3,1,0,0,0,0,1,1,0,0,2
iqiyi.com,0,0,0,0,5,0,1,0,0,1,1,0,6,0,0,3,0,5,0,0,0,0,0,0,1,1
jb51.net,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,1,0,0,0,0,0,0
jd.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
kugou.com,1,1,0,1,4,0,0,0,0,2,0,0,3,0,0,12,0,0,0,0,0,0,1,0,3,1
leetcode-cn.com,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,2,2,0,0,1,0,1,0,0,1,6
media.net,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,10,0,0,1,2,1,0,0,14
mi.com,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
microsoft.com,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1
mozilla.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,2
msn.com,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,12,0,0,0,3
notion.so,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
nvidia.com,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,8,0,4
onlinedown.net,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3
oracle.com,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,5
